Symbol,Gene_symbol,IPI_accession,IPIs,Description,Protein_length,hESC_SpC,hNSC_SpC,NSAF_SpC_ratio,hESC_G_mean,hESC_Ln_NSAF,hESC_RSD_pct,hNSC_G_mean,hNSC_Ln_NSAF,hNSC_RSC_pct,t_test_p,color
OSBP,OSBP,IPI00024971,IPI00024971,Isoform 1 of Oxysterol-binding protein 1,807,"( 41 ,46 ,68 )","( 54 ,49 ,52 )",0.960344129,9.55105e-05,-9.256274773,0.276493735,9.94544e-05,-9.215811181,2.449771968,0.773088988,gray
SMAD1,SMAD1,IPI00019549,IPI00019549,Mothers against decapentaplegic homolog 1,465,"( 4.95 ,12.3217 ,10.7059 )","( 6.85714 ,9.39744 ,7.33636 )",1.094874291,2.8516e-05,-10.4650466,4.124392033,2.6045e-05,-10.55568615,2.660485154,0.775563959,gray
IPO11,IPO11,IPI00913938,IPI00913938;IPI00301107,importin-11 isoform 1,1015,"( 22 ,29 ,28 )","( 30 ,31 ,23 )",0.925827243,3.93642e-05,-10.14265459,2.265341611,4.25178e-05,-10.06558697,3.705802926,0.77571454,gray
PQBP1,PQBP1,IPI00024698,IPI00641377;IPI00954553;IPI00607805;IPI00654698;IPI00607824;IPI00386483;IPI00024698,Isoform 1 of Polyglutamine-binding protein 1,265,"( 12 ,14 ,13 )","( 15 ,16 ,12 )",0.921565137,7.78866e-05,-9.460256711,3.205236765,8.45156e-05,-9.378574893,3.780616016,0.776731573,gray
DDX24,DDX24,IPI00006987,IPI00006987;IPI00923556;IPI00911118,ATP-dependent RNA helicase DDX24,859,"( 15 ,16 ,8 )","( 14 ,20 ,10 )",0.865326129,2.21147e-05,-10.71926669,6.024023774,2.55565e-05,-10.57461787,4.901050342,0.777066892,gray
HECTD3,HECTD3,IPI00456642,IPI00456642;IPI00941376;IPI00640005,Isoform 1 of Probable E3 ubiquitin-protein ligase HECTD3,861,"( 4 ,4 ,3 )","( 5 ,2 ,3 )",1.1317556,6.54927e-06,-11.93615672,3.719206076,5.78683e-06,-12.05992677,4.577903558,0.777143244,gray
AKAP8,AKAP8,IPI00014474,IPI00014474,A-kinase anchor protein 8,692,"( 4 ,8 ,3 )","( 4 ,14 ,3 )",0.815821643,1.01133e-05,-11.50166111,6.125497674,1.23964e-05,-11.29810158,8.281519649,0.777982243,gray
PUS7,PUS7,IPI00044761,IPI00044761,Pseudouridylate synthase 7 homolog,661,"( 72 ,59 ,99 )","( 70 ,57 ,90 )",1.036278444,0.000173239,-8.660837364,1.544343615,0.000167174,-8.69647324,1.781691171,0.778004831,gray
SNRPA,SNRPA,IPI00012382,IPI00012382,U1 small nuclear ribonucleoprotein A,282,"( 39.2857 ,80.2222 ,51.35 )","( 65.25 ,86.5979 ,39.9556 )",0.879849404,0.000295358,-8.127323588,5.570518517,0.000335691,-7.99931907,7.263699945,0.778106473,gray
FNBP1,FNBP1,IPI00807625,IPI00642107;IPI00921989;IPI00908984;IPI00102670;IPI00942807;IPI00872076;IPI00952976;IPI00807625;IPI00647034;IPI00807407,Isoform 1 of Formin-binding protein 1,617,"( 4 ,11 ,4 )","( 3 ,10 ,9 )",0.851712838,1.3935e-05,-11.18110513,6.592533268,1.63612e-05,-11.02059928,5.054718303,0.778224585,gray
ARF5,ARF5,IPI00215919,IPI00853337;IPI00215919,ADP-ribosylation factor 5,180,"( 24.5964 ,7.3504 ,33.9986 )","( 9.89488 ,19.8462 ,18.861 )",1.137981485,0.000157138,-8.758387084,8.002133619,0.000138085,-8.88764315,2.904235835,0.778902427,gray
NCAPH,NCAPH,IPI00299507,IPI00927291;IPI00299507;IPI00924630,Condensin complex subunit 2,741,"( 64 ,63 ,52 )","( 67 ,53 ,69 )",0.932138673,0.000124504,-8.99117397,3.969876206,0.000133568,-8.920900286,2.192061778,0.779693448,gray
FAM107B,FAM107B,IPI00027799,IPI00027799;IPI00646308;IPI00945357;IPI00946222;IPI00946163;IPI00947117;IPI00871831;IPI00947154;IPI00945668,Isoform 2 of Protein FAM107B,306,"( 6 ,6 ,1 )","( 4 ,4 ,6 )",0.834886455,2.13157e-05,-10.75606478,9.796811858,2.55313e-05,-10.57560523,0.503382962,0.781141895,gray
RAB15,RAB15,IPI00394882,IPI00394882;IPI00383449,Isoform 1 of Ras-related protein Rab-15,212,"( 15 ,15 ,45.3 )","( 19.1473 ,8.03125 ,42 )",1.144601493,0.000156314,-8.763642578,4.294307402,0.000136566,-8.898699114,7.824169935,0.781916059,gray
IDI1,IDI1,IPI00220014,IPI00645307;IPI00220014,Isoform 2 of Isopentenyl-diphosphate Delta-isomerase 1,284,"( 36 ,42 ,31 )","( 25 ,43 ,32 )",1.089917104,0.000194041,-8.547439924,4.645270508,0.000178033,-8.633541566,3.615915558,0.782357164,gray
ZZEF1,ZZEF1,IPI00385631,IPI00789160;IPI00790964;IPI00385631,Isoform 1 of Zinc finger ZZ-type and EF-hand domain-containing protein 1,2961,"( 2 ,7 ,3 )","( 3 ,5 ,4 )",0.878804677,1.80636e-06,-13.22419837,5.334900151,2.05547e-06,-13.09500575,2.123075212,0.7824268,gray
DTD1,DTD1,IPI00152692,IPI00152692,D-tyrosyl-tRNA(Tyr) deacylase 1,209,"( 10 ,9 ,8 )","( 8 ,7 ,10 )",1.069028571,6.55449e-05,-9.632775462,3.860421023,6.13126e-05,-9.699525821,1.296555729,0.782920112,gray
NUP37,NUP37,IPI00171665,IPI00171665,Nucleoporin Nup37,326,"( 11 ,9 ,3 )","( 8 ,5 ,4 )",1.208241532,3.12806e-05,-10.37251157,9.327501931,2.58894e-05,-10.56167759,5.242081922,0.782944828,gray
POFUT1,POFUT1,IPI00058192,IPI00058192,Isoform 1 of GDP-fucose protein O-fucosyltransferase 1,388,"( 29 ,28 ,35 )","( 29 ,18 ,43 )",1.063576843,0.000120213,-9.026247473,1.695960776,0.000113027,-9.087885081,3.635463035,0.783879082,gray
MTMR14,MTMR14,IPI00168378,IPI00909240;IPI00384329;IPI00152391;IPI00168378;IPI00103891;IPI00794209;IPI00798405;IPI00927321,Isoform 1 of Myotubularin-related protein 14,650,"( 2 ,6 ,8 )","( 4 ,4 ,6 )",0.894137662,1.19106e-05,-11.33808372,5.764250725,1.33207e-05,-11.22618819,0.951373418,0.7841131,gray
PDXK,PDXK,IPI00013004,IPI00216320;IPI00791490;IPI00013004;IPI00418202,Isoform 1 of Pyridoxal kinase,312,"( 18 ,20 ,16 )","( 20 ,24 ,7 )",1.172659384,8.93259e-05,-9.323219185,3.712542555,7.61738e-05,-9.482493332,9.30070797,0.784877691,gray
WDR3,WDR3,IPI00009471,IPI00009471,WD repeat-containing protein 3,943,"( 11 ,9 ,4 )","( 10 ,7 ,3 )",1.21459686,1.19022e-05,-11.3387865,7.072217292,9.79931e-06,-11.53319872,7.234410278,0.785185869,gray
TUBA8,TUBA8,IPI00952875,IPI00791613;IPI00952875;IPI00646909;IPI00792478,Putative uncharacterized protein DKFZp686L04275 (Fragment),479,"( 12.1411 ,18.1914 ,25.6566 )","( 91.7515 ,25.8125 ,0 )",1.643589756,5.74457e-05,-9.764670541,1.788116043,3.49514e-05,-10.26155327,29.48707385,0.785187375,gray
C12orf11,C12orf11,IPI00550986,IPI00550986,Cell cycle regulator Mat89Bb homolog,706,"( 8 ,8 ,12 )","( 5 ,9 ,21 )",0.917451935,1.98254e-05,-10.82854555,0.40310277,2.16092e-05,-10.74239047,4.763803676,0.785685292,gray
C14orf166,C14orf166,IPI00006980,IPI00792100;IPI00006980,UPF0568 protein C14orf166,244,"( 54 ,62 ,128 )","( 57 ,68 ,120 )",0.956643652,0.000472261,-7.657978193,2.59160074,0.000493665,-7.613653876,2.290775139,0.785780056,gray
ZGPAT,ZGPAT,IPI00553175,IPI00719070;IPI00553175;IPI00641397,Isoform 1 of Zinc finger CCCH-type with G patch domain-containing protein,531,"( 16 ,4 ,9 )","( 5 ,12 ,14 )",0.866940203,2.3949e-05,-10.63958359,7.073803475,2.76248e-05,-10.49679831,3.889058059,0.786757402,gray
C9orf123,C9orf123,IPI00477089,IPI00477089;IPI00843811,Isoform 1 of Transmembrane protein C9orf123,116,"( 4 ,8 ,3 )","( 7 ,5 ,4 )",0.866940233,6.0331e-05,-9.715664983,7.255139418,6.95907e-05,-9.572879743,5.09110987,0.786932773,gray
CDC27,CDC27,IPI00794278,IPI00794278;IPI00909993;IPI00797796;IPI00294575,cell division cycle protein 27 isoform 1,830,"( 8 ,2 ,5 )","( 2 ,6 ,4 )",1.163814282,8.05484e-06,-11.72923786,6.377001469,6.92107e-06,-11.88094065,4.377336345,0.787117522,gray
GON4L,YY1AP1;GON4L,IPI00375803,IPI00303506;IPI00375803;IPI00657728;IPI00552561;IPI00375458;IPI00939489;IPI00640856;IPI00018703;IPI00657925;IPI00149321;IPI00419581;IPI00376951,Isoform 1 of GON-4-like protein,2241,"( 4 ,3.75 ,4.66667 )","( 8 ,3 ,0 )",1.403693567,3.08398e-06,-12.68928869,1.388428157,2.19705e-06,-13.02839572,15.71181508,0.787517668,gray
ERCC2,ERCC2,IPI00029728,IPI00642906;IPI00442420;IPI00745711;IPI00029728;IPI00745781,TFIIH basal transcription factor complex helicase subunit,760,"( 7 ,7 ,4 )","( 5 ,7 ,7 )",0.904743855,1.18407e-05,-11.34397055,5.123030517,1.30873e-05,-11.24386714,1.419134805,0.787704511,gray
ROR1,ROR1,IPI00010405,IPI00010405,Isoform Long of Tyrosine-protein kinase transmembrane receptor ROR1,937,"( 18 ,16 ,14 )","( 13 ,18 ,20.027 )",0.935055494,2.59622e-05,-10.55886924,3.652169128,2.77654e-05,-10.49171984,1.167357764,0.787960288,gray
MED16,MED16,IPI00037401,IPI00157783;IPI00037401;IPI00556603,Isoform 1 of Mediator of RNA polymerase II transcription subunit 16,877,"( 10 ,13 ,4 )","( 8 ,9 ,4 )",1.197138238,1.40144e-05,-11.17542192,7.834291812,1.17066e-05,-11.35535583,5.663863901,0.788111835,gray
INTS4,INTS4,IPI00446765,IPI00446765;IPI00419468,Isoform 1 of Integrator complex subunit 4,963,"( 3 ,5 ,11 )","( 4 ,5 ,10 )",0.921665894,8.82479e-06,-11.63794535,3.553288954,9.57483e-06,-11.55637285,2.308412329,0.788218851,gray
ACP1,ACP1,IPI00219861,IPI00219861;IPI00218847,Isoform 1 of Low molecular weight phosphotyrosine protein phosphatase,158,"( 41 ,48 ,70 )","( 36 ,45 ,93 )",0.95383831,0.000499721,-7.601459757,0.611384735,0.000523906,-7.554198649,3.726678557,0.788350603,gray
ABI1,ABI1,IPI00480028,IPI00431033;IPI00431034;IPI00431025;IPI00431026;IPI00431027;IPI00431029;IPI00902865;IPI00647003;IPI00935670;IPI00827857;IPI00480028;IPI00431030;IPI00431031;IPI00431032,Putative uncharacterized protein ABI1,509,"( 6.33333 ,2.21053 ,11 )","( 2.14815 ,11.2941 ,10.8696 )",0.839208342,1.64621e-05,-11.01445177,6.229881203,1.96162e-05,-10.83915549,7.563081554,0.790170949,gray
DNAJC19,DNAJC19,IPI00304306,IPI00304306;IPI00795263,Mitochondrial import inner membrane translocase subunit TIM14,116,"( 3 ,6 ,11 )","( 4 ,6 ,10 )",0.922059736,7.67959e-05,-9.474359216,4.492183613,8.32873e-05,-9.393213948,2.697553086,0.790571689,gray
SRPK2,SRPK2,IPI00871157,IPI00941361;IPI00333420;IPI00873916;IPI00871157;IPI00396412,82 kDa protein,730,"( 22.5 ,24.5593 ,10.6875 )","( 14.7105 ,24.3692 ,9.8645 )",1.166093246,3.79689e-05,-10.17874231,7.015263651,3.25608e-05,-10.33240137,5.932136183,0.791064219,gray
EIF5,EIF5,IPI00022648,IPI00022648,Eukaryotic translation initiation factor 5,431,"( 66.717 ,90 ,185 )","( 90 ,106 ,126.562 )",0.956182441,0.000367266,-7.909423979,3.367600374,0.000384096,-7.864617433,0.835773703,0.791232881,gray
ENO1,ENO1,IPI00465248,IPI00465248,Isoform alpha-enolase of Alpha-enolase,434,"( 1577.8 ,1471.8 ,2073.81 )","( 1653.32 ,1543.89 ,1946.4 )",0.972961364,0.005947128,-5.124846846,2.12147467,0.006112399,-5.097435941,2.509010992,0.791299845,gray
RTTN,RTTN,IPI00645947,IPI00952915;IPI00647076;IPI00869092;IPI00869048;IPI00645947,Isoform 1 of Rotatin,2226,"( 5 ,3 ,5 )","( 0 ,6 ,9 )",1.277870841,2.89558e-06,-12.7523239,2.433280661,2.26594e-06,-12.99751919,11.4311535,0.792700775,gray
PPM1A,PPM1A,IPI00900291,IPI00020950;IPI00900291,protein phosphatase 1A isoform 3,455,"( 32.8824 ,24 ,39.8713 )","( 21.28 ,26.8475 ,45.931 )",1.044462418,0.000106049,-9.151606141,2.179451472,0.000101535,-9.195108462,1.964245019,0.793315897,gray
CCDC6,CCDC6,IPI00000634,IPI00000634;IPI00807498,Coiled-coil domain-containing protein 6,474,"( 37 ,54 ,57 )","( 44 ,49 ,56 )",0.964621804,0.000156531,-8.762255524,2.27298587,0.000162272,-8.726236357,1.157343184,0.793776244,gray
SNX17,SNX17,IPI00014219,IPI00014219,Sorting nexin-17,470,"( 8 ,11 ,13 )","( 11 ,8 ,14 )",0.959135129,3.4011e-05,-10.28882747,1.432797981,3.546e-05,-10.24710417,2.075262455,0.793846345,gray
ARF4,ARF4,IPI00215918,IPI00215918;IPI00946929,ADP-ribosylation factor 4,180,"( 44.54 ,23.9062 ,156.45 )","( 35.3125 ,39 ,89.105 )",1.149245018,0.000493887,-7.613204451,10.68788616,0.000429749,-7.752309672,3.83215202,0.793999806,gray
SKP2,SKP2,IPI00163172,IPI00178899;IPI00163172;IPI00013294,Putative uncharacterized protein SKP2,443,"( 4 ,9 ,5 )","( 2 ,6 ,10 )",1.146155578,1.98396e-05,-10.82782949,5.132319799,1.73097e-05,-10.96424286,5.848114757,0.794258514,gray
MLLT11,MLLT11,IPI00011421,IPI00011421,Protein AF1q,90,"( 4 ,4 ,3 )","( 2 ,2 ,8 )",1.125394142,6.1718e-05,-9.692935239,4.446526076,5.48412e-05,-9.811068562,6.06624427,0.794261766,gray
C4orf41,C4orf41,IPI00396048,IPI00375684;IPI00396048;IPI00940935;IPI00412941,Isoform 1 of UPF0636 protein C4orf41,1133,"( 18 ,21 ,16 )","( 14 ,14 ,24 )",1.065918457,2.46692e-05,-10.60995557,3.599058607,2.31436e-05,-10.67379239,1.065790557,0.795068596,gray
RPL35A,RPL35A,IPI00029731,IPI00029731,60S ribosomal protein L35a,110,"( 41 ,44 ,135 )","( 48 ,35 ,105 )",1.094706604,0.000867703,-7.049660763,5.740669349,0.000792635,-7.140147149,5.541942812,0.795363876,gray
PSMC4,LOC652826;PSMC4,IPI00020042,IPI00738042;IPI00020042,Isoform 1 of 26S protease regulatory subunit 6B,418,"( 121 ,130.226 ,115 )","( 118 ,122.591 ,140 )",0.947353014,0.000445785,-7.715674638,4.072051003,0.000470558,-7.661591154,1.631973818,0.795394626,gray
MRPS36,MRPS36,IPI00020495,IPI00874047;IPI00020495,"28S ribosomal protein S36, mitochondrial",103,"( 9 ,14 ,6 )","( 11 ,14 ,7 )",0.873457986,0.000135179,-8.908907889,7.341288047,0.000154763,-8.77361264,6.198473105,0.796271534,gray
RNF220,RNF220,IPI00953105,IPI00477181;IPI00827709;IPI00953105;IPI00479367;IPI00479128;IPI00514161,63 kDa protein,567,"( 9 ,4 ,1 )","( 3 ,2 ,12 )",0.78030464,8.90072e-06,-11.62937811,11.83179909,1.14067e-05,-11.38130724,6.631098675,0.797050881,gray
LOC643677,C13orf40,IPI00929313,IPI00937077;IPI00929313;IPI00736256;IPI00937178,hypothetical protein LOC643677,7081,"( 11 ,12 ,11 )","( 3 ,9 ,31 )",1.174240858,2.44419e-06,-12.9217967,2.234929962,2.08151e-06,-13.08241856,7.430649059,0.797076316,gray
TMOD3,TMOD3,IPI00005087,IPI00005087,Tropomodulin-3,352,"( 35 ,24 ,38 )","( 30 ,32 ,36 )",0.957423774,0.000137738,-8.890158811,2.762615269,0.000143863,-8.84664964,1.393098261,0.797431697,gray
PWP1,PWP1,IPI00014298,IPI00789042;IPI00014298,Periodic tryptophan protein 1 homolog,501,"( 27 ,30 ,19 )","( 25 ,23 ,19 )",1.101788204,7.59921e-05,-9.484881343,5.258883114,6.89716e-05,-9.581815843,3.723684926,0.797669692,gray
SFRS4,SRSF4,IPI00000015,IPI00000015;IPI00908618,"Splicing factor, arginine/serine-rich 4",494,"( 4.5 ,2.52632 ,12.6667 )","( 2.85824 ,8.79545 ,7.61111 )",0.883011222,1.62169e-05,-11.02945441,5.398057318,1.83655e-05,-10.90503704,4.773509846,0.798564431,gray
KDELC2,KDELC2,IPI00143921,IPI00445699;IPI00143921,Isoform 1 of KDEL motif-containing protein 2,507,"( 66 ,45 ,9 )","( 24 ,26 ,21 )",1.2374608,9.04124e-05,-9.311129356,14.25706488,7.30628e-05,-9.524190894,3.309425508,0.798991543,gray
PPP2R2A,PPP2R2A,IPI00798041,IPI00798041;IPI00332511,serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform isoform 2,457,"( 37.2526 ,50.0346 ,72 )","( 41.027 ,57.4694 ,59.1818 )",0.970424488,0.000171229,-8.672507765,1.377804055,0.000176448,-8.642486078,1.731005181,0.799364222,gray
ATF6,ATF6,IPI00002511,IPI00002511,Cyclic AMP-dependent transcription factor ATF-6 alpha,670,"( 3 ,2 ,4 )","( 3 ,3 ,2 )",1.082066752,6.58016e-06,-11.93145196,1.97741818,6.0811e-06,-12.01032483,3.710268155,0.799772114,gray
MINK1,MINK1,IPI00166680,IPI00218498;IPI00955938;IPI00479498;IPI00166680,Isoform 3 of Misshapen-like kinase 1,1332,"( 14.8004 ,17.9445 ,8.69048 )","( 8.02857 ,15.9818 ,23.45 )",0.891945003,1.5193e-05,-11.09467501,5.698880255,1.70336e-05,-10.98032421,3.363020198,0.79998866,gray
LRBA,LRBA,IPI00002255,IPI00002255;IPI00945818,Isoform 1 of Lipopolysaccharide-responsive and beige-like anchor protein,2863,"( 110.895 ,114.765 ,151.63 )","( 135.176 ,116.812 ,130.142 )",0.962652404,6.6689e-05,-9.615470579,0.966541975,6.92763e-05,-9.577407695,2.356773297,0.800429665,gray
CD59,CD59,IPI00011302,IPI00011302,CD59 glycoprotein,128,"( 9 ,10 ,38 )","( 8 ,16 ,19 )",1.101441453,0.000179904,-8.623089893,6.249146351,0.000163335,-8.719709627,3.535697468,0.800620513,gray
DNAH9,DNAH9,IPI00302453,IPI00302453;IPI00795394,"Isoform 1 of Dynein heavy chain 9, axonemal",4486,"( 8.91629 ,9.37143 ,6 )","( 10.844 ,5.76923 ,5.33333 )",1.126037594,2.70663e-06,-12.81980779,3.953249248,2.40367e-06,-12.93851271,4.409769553,0.800821315,gray
METTL3,METTL3,IPI00009755,IPI00009755,Isoform 1 of N6-adenosine-methyltransferase 70 kDa subunit,580,"( 37 ,41 ,37 )","( 32 ,36 ,40 )",1.049943847,0.000100896,-9.20141687,3.192518914,9.60969e-05,-9.250153554,1.228387317,0.801887396,gray
SHROOM3,SHROOM3,IPI00152881,IPI00152881;IPI00935334;IPI00446280,protein Shroom3,1996,"( 5 ,4 ,1 )","( 2.125 ,2 ,8 )",0.819092976,2.11681e-06,-13.06559982,8.844318754,2.58434e-06,-12.86604214,4.494505017,0.801904262,gray
FAH,FAH,IPI00031708,IPI00031708;IPI00793664,Fumarylacetoacetase,419,"( 7 ,17 ,7 )","( 8 ,8 ,17 )",0.897114195,3.44857e-05,-10.27496508,6.47202238,3.84407e-05,-10.16639296,2.264979525,0.802266736,gray
SCFD1,SCFD1,IPI00794956,IPI00794956;IPI00165261,Putative uncharacterized protein SCFD1,642,"( 71 ,78 ,144 )","( 76 ,94 ,113 )",0.979129583,0.000220772,-8.418379903,1.40915743,0.000225478,-8.39728862,0.805756101,0.802303761,gray
EIF2B1,EIF2B1,IPI00221300,IPI00783880;IPI00221300,Translation initiation factor eIF-2B subunit alpha,305,"( 40 ,36 ,40 )","( 44 ,24 ,67 )",0.927506796,0.000195952,-8.537640396,3.070251663,0.000211268,-8.462385238,4.864607783,0.802486381,gray
IPMK,IPMK,IPI00168907,IPI00168907,Inositol polyphosphate multikinase,416,"( 2 ,4 ,1 )","( 2 ,3 ,2 )",0.858837187,7.34814e-06,-11.82106277,7.790411088,8.55592e-06,-11.66888686,3.072889859,0.802539381,gray
WDR33,WDR33,IPI00106567,IPI00106567,WD repeat-containing protein 33,1336,"( 5 ,5 ,2 )","( 2 ,10 ,4 )",0.840557528,4.21461e-06,-12.37695258,6.416363207,5.01407e-06,-12.2032627,6.568815796,0.802679967,gray
CHMP1B,CHMP1B,IPI00156984,IPI00156984,Charged multivesicular body protein 1b,199,"( 2 ,2 ,5 )","( 2 ,2 ,6 )",0.925153069,2.08481e-05,-10.77824945,2.48300572,2.25347e-05,-10.70045337,4.013324408,0.803090625,gray
CLTC,CLTC,IPI00024067,IPI00024067;IPI00455383,Isoform 1 of Clathrin heavy chain 1,1675,"( 545.248 ,492.982 ,933.387 )","( 515.161 ,552.996 ,793.483 )",1.017893905,0.000575513,-7.460248656,1.506389523,0.000565396,-7.47798435,0.355609073,0.803370872,gray
ERCC3,ERCC3,IPI00747053,IPI00747053,TFIIH basal transcription factor complex helicase XPB subunit,782,"( 5 ,6 ,0 )","( 4 ,4 ,2 )",0.76369784,4.82019e-06,-12.24269663,13.52656082,6.31165e-06,-11.97311356,5.104727767,0.803464304,gray
SEC13,SEC13,IPI00853598,IPI00789755;IPI00479141;IPI00375370;IPI00853598,"cDNA FLJ56334, highly similar to SEC13-related protein",368,"( 26 ,39 ,58 )","( 31 ,41 ,39 )",1.040782781,0.000161516,-8.7309075,2.169994398,0.000155187,-8.770880604,2.044483513,0.803784577,gray
PDCD10,PDCD10,IPI00298558,IPI00298558;IPI00946434,Programmed cell death protein 10,212,"( 31 ,54 ,28 )","( 28 ,41 ,29 )",1.101210367,0.000260104,-8.254429385,6.553035563,0.000236198,-8.350839294,3.927948405,0.804622269,gray
RAB1A,RAB1A,IPI00005719,IPI00937805;IPI00005719,Isoform 1 of Ras-related protein Rab-1A,205,"( 40.5 ,34.6796 ,73.1958 )","( 27.3333 ,44.4889 ,69.4286 )",1.049424765,0.000349348,-7.959442524,2.077176833,0.000332895,-8.007684696,3.369125095,0.804711054,gray
NDUFS8,NDUFS8,IPI00010845,IPI00010845,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",210,"( 17 ,15 ,38 )","( 18 ,16 ,28 )",1.045198776,0.000155166,-8.771016358,2.912910347,0.000148456,-8.815223441,1.558309396,0.804808075,gray
PUM1,PUM1,IPI00032355,IPI00551014;IPI00941275;IPI00032355;IPI00941189;IPI00646054,"Pumilio homolog 1 (Drosophila), isoform CRA_c",1224,"( 33.1777 ,38.0606 ,60.9524 )","( 30 ,40.3333 ,57.6316 )",1.022274945,5.38076e-05,-9.830096655,0.613702536,5.26351e-05,-9.852127137,1.334668109,0.804989381,gray
NME7,NME7,IPI00294997,IPI00377134;IPI00555922;IPI00294997,Nucleoside diphosphate kinase 7,376,"( 10 ,5 ,5 )","( 2 ,11 ,7 )",1.164345866,2.59382e-05,-10.55979349,5.66988358,2.22771e-05,-10.71195293,7.51661321,0.80548621,gray
CREB1,CREB1,IPI00027713,IPI00218334;IPI00924733;IPI00926858;IPI00927840;IPI00927217;IPI00027713,Isoform CREB-A of Cyclic AMP-responsive element-binding protein 1,341,"( 5 ,8 ,2 )","( 4 ,9 ,4 )",0.853178482,2.06431e-05,-10.78813034,8.155966616,2.41955e-05,-10.62934383,5.520938405,0.807328381,gray
SLC25A4,SLC25A4,IPI00022891,IPI00022891,ADP/ATP translocase 1,298,"( 29.7368 ,36.2148 ,103.837 )","( 41.4442 ,29.7177 ,116.616 )",0.904425886,0.000247098,-8.305727374,4.904897651,0.000273209,-8.205272457,6.492563804,0.807878217,gray
NFKBIL2,NFKBIL2,IPI00889713,IPI00953200;IPI00783999;IPI00889713;IPI00555582,Isoform 2 of NF-kappa-B inhibitor-like protein 2,1378,"( 3 ,5 ,5 )","( 6 ,9 ,2 )",0.862396727,4.72527e-06,-12.26258641,2.08994859,5.47923e-06,-12.11454654,7.903648164,0.808287107,gray
IER3IP1,IER3IP1,IPI00007166,IPI00007166,Immediate early response 3-interacting protein 1,82,"( 10 ,7 ,18 )","( 11 ,8 ,16 )",0.947393372,0.000201318,-8.510622535,3.248808294,0.000212497,-8.456581651,2.765970996,0.808754451,gray
FAM134C,FAM134C,IPI00254338,IPI00254338,Protein FAM134C,466,"( 7 ,4.18605 ,8 )","( 5 ,12 ,5 )",0.90552175,2.02233e-05,-10.80867286,2.701194231,2.23334e-05,-10.70942888,5.617616233,0.809651271,gray
EIF4G3,EIF4G3,IPI00646377,IPI00646377;IPI00513762;IPI00874215;IPI00411710;IPI00328268,Isoform 1 of Eukaryotic translation initiation factor 4 gamma 3,1585,"( 54 ,68.3469 ,25.4935 )","( 52.6842 ,45.5 ,25.3386 )",1.147092127,4.82522e-05,-9.939069976,6.617396801,4.20648e-05,-10.07630013,6.50484136,0.810332024,gray
RPLP1,RPLP1,IPI00008527,IPI00008527,60S acidic ribosomal protein P1,114,"( 146.79 ,242.756 ,50 )","( 92.7335 ,206.825 ,48 )",1.225160079,0.001625354,-6.422029642,16.54618563,0.001326646,-6.625101154,13.53179945,0.811365582,gray
UBQLN1,UBQLN1,IPI00099550,IPI00071180;IPI00099550,Isoform 1 of Ubiquilin-1,589,"( 39.0815 ,36.8939 ,84.2382 )","( 33.9519 ,54.4823 ,66.9839 )",0.962500537,0.000128861,-8.956774695,2.271886004,0.000133882,-8.91855404,1.829628466,0.812132737,gray
OGFR,OGFR,IPI00021537,IPI00216130;IPI00021537;IPI00642693;IPI00449112,Isoform 1 of Opioid growth factor receptor,677,"( 30 ,31 ,17 )","( 14 ,23 ,35 )",1.100551138,5.66626e-05,-9.778396633,6.153909595,5.14856e-05,-9.874207722,2.678762593,0.812930291,gray
TMEM48,TMEM48,IPI00386760,IPI00386760;IPI00746642,Isoform 1 of Nucleoporin NDC1,674,"( 13 ,26 ,14 )","( 17 ,14 ,24 )",0.923335497,3.80711e-05,-10.17605446,5.16491304,4.12322e-05,-10.09629184,1.549509849,0.813357793,gray
EFNA1,EFNA1,IPI00025840,IPI00377015;IPI00025840,Isoform 1 of Ephrin-A1,205,"( 8 ,31 ,13 )","( 14 ,48 ,8 )",0.829061755,0.000110142,-9.113741205,8.19986714,0.000132851,-8.926280572,11.83069751,0.813493006,gray
HNRNPD,HNRNPD,IPI00028888,IPI00915340;IPI00220683;IPI00028888;IPI00964648;IPI00220684;IPI00220685;IPI00903278,Isoform 1 of Heterogeneous nuclear ribonucleoprotein D0,355,"( 201.573 ,213.906 ,431.555 )","( 241.602 ,258.885 ,294.763 )",0.972586697,0.001154773,-6.763851617,2.220661368,0.001187321,-6.736055559,1.760157835,0.813729188,gray
ENAH,ENAH,IPI00646954,IPI00646954;IPI00411623;IPI00749432,89 kDa protein,817,"( 89 ,98 ,120 )","( 79.375 ,102 ,94 )",1.034999657,0.00023121,-8.372184342,0.105326002,0.000223391,-8.406585438,2.816105923,0.813761099,gray
MAPRE1,MAPRE1,IPI00017596,IPI00017596;IPI00910350,Microtubule-associated protein RP/EB family member 1,268,"( 162 ,188 ,279.771 )","( 161 ,189.947 ,273 )",0.989727673,0.00116497,-6.755059625,0.634409287,0.001177062,-6.744734173,0.852022775,0.815274832,gray
PRPS2,PRPS2,IPI00718888,IPI00219617;IPI00718888,Isoform 2 of Ribose-phosphate pyrophosphokinase 2,321,"( 48.0708 ,53.4726 ,36.5814 )","( 47.5311 ,44.7048 ,51.7442 )",0.933184328,0.000216518,-8.437838441,5.365749858,0.00023202,-8.368685908,1.95958335,0.815662461,gray
